rank,domain,company_name,country,sector
316,aurobindo.com,"Aurobindo Pharma","India","Healthcare"
317,auroraworld.co.kr,"Aurora World","South Korea","Other"
318,ausnetservices.com.au,"AusNet Services","Australia","Other"
319,ausnutria.com,"Ausnutria","People's Republic of China","Other"
320,aussiebroadband.com.au,"Aussie Broadband","Australia","Telecommunications"
321,austal.com,"Austal","Australia","Other"
322,anj-group.com,"Austindo Nusantara Jaya","Indonesia","Other"
323,anz.co.nz,"Australia and New Zealand Banking Group","Australia","Banking & Finance"
324,melbourneairport.com.au,"Australia Pacific Airports Corporation","Australia","Other"
325,aaco.com.au,"Australian Agricultural Company","Australia","Energy & Utilities"
326,clinicallabs.com.au,"Australian Clinical Labs","Australia","Other"
327,australianethical.com.au,"Australian Ethical Investment","Australia","Banking & Finance"
328,afi.com.au,"Australian Foundation Investment Company Limited","Australia","Other"
329,api.net.au,"Australian Pharmaceutical Industries","Australia","Healthcare"
330,asx.com.au,"Australian Securities Exchange","Australia","Banking & Finance"
331,australianvintage.com.au,"Australian Vintage","Australia","Other"
332,auswidebank.com.au,"Auswide Bank","Australia","Banking & Finance"
333,autogrill.com,"Autogrill","Italy","Other"
334,autohome.com.cn,"Autohome","People's Republic of China","Other"
335,shva.co.il,"Automatic Bank Services Limited","Israel","Banking & Finance"
336,autonavi.com,"AutoNavi Holdings Limited","People's Republic of China","Other"
337,autopedia.id,"Autopedia Sukses Lestari","Indonesia","Other"
338,avex.co.jp,"Avex Group","Japan","Other"
339,avgol.com,"Avgol Industries 1953 Ltd.","Israel","Other"
340,avic.com.cn,"Aviation Industry Corporation of China"," Ltd.","People's Republic of China"
341,xac.com.cn,"AVIC Aircraft Corporation Ltd.","People's Republic of China","Defence & Security"
342,avitamedical.com,"Avita Medical","Australia","Healthcare"
343,axisbank.com,"Axis Bank","India","Banking & Finance"
344,pashupatibank.com.np,"Axis Development Bank Limited","Nepal","Banking & Finance"
345,ayala.com.ph,"Ayala Corporation","Philippines","Other"
346,ayanaland.com,"Ayana Land International","Indonesia","Other"
347,ba24.ir,"Ayandeh Bank","Iran","Banking & Finance"
348,ayyan.com.sa,"AYYAN Investment Co.","Saudi Arabia","Other"
349,azarab.ir,"Azarab Industries Company","Iran","Other"
350,azorim.co.il,"Azorim-investment  Development & Construction Co. Ltd.","Israel","Other"
351,azrieligroup.com,"Azrieli Group Ltd","Israel","Other"
352,azurepower.com,"Azure Power","India","Other"
353,bcommunications.co.il,"B Communications Ltd","Israel","Telecommunications"
354,gaon.com,"B.gaon Holdings Ltd.","Israel","Other"
355,bgrimmgroup.com,"B.Grimm","Thailand","Other"
356,bmstores.co.uk,"B&M","United Kingdom","Retail & E-commerce"
