rank,domain,company_name,country,sector
44,assaabloy.com,"Assa Abloy","Sweden","Other"
45,abf.co.uk,"Associated British Foods","United Kingdom","Retail & Consumer"
46,abf.co.uk,"Associated British Foods","United Kingdom","Retail & Consumer"
47,astonmartinlagonda.com,"Aston Martin","United Kingdom","Other"
48,astrazeneca.com,"AstraZeneca","United Kingdom","Healthcare"
49,atlascopco.com,"Atlas Copco","Sweden","Transportation & Logistics"
50,atos.net,"Atos","France","Technology"
51,autotrader.co.uk,"Auto Trader Group","United Kingdom","Media & Entertainment"
52,aviva.co.uk,"Aviva","United Kingdom","Insurance"
53,axa.com,"AXA","France","Insurance"
54,azelis.com,"Azelis Group","Belgium","Transportation & Logistics"
55,baesystems.com,"BAE Systems","United Kingdom","Transportation & Logistics"
56,baesystems.com,"BAE Systems","United Kingdom","Transportation & Logistics"
57,balfourbeatty.com,"Balfour Beatty","United Kingdom","Other"
58,baloise.de,"Baloise","Switzerland","Insurance"
59,bbva.com,"Banco Bilbao Vizcaya Argentaria","Spain","Banking & Finance"
60,bancsabadell.com,"Banco Sabadell","Spain","Banking & Finance"
61,santander.com,"Banco Santander","Spain","Banking & Finance"
62,bankinter.com,"Bankinter","Spain","Banking & Finance"
63,bankinter.com,"Bankinter","Spain","Banking & Finance"
64,home.barclays,"Barclays","United Kingdom","Banking & Finance"
65,barrattdevelopments.co.uk,"Barratt Developments","United Kingdom","Retail & Consumer"
66,barry-callebaut.com,"Barry Callebaut","Switzerland","Retail & Consumer"
67,barry-callebaut.com,"Barry Callebaut","Switzerland","Retail & Consumer"
68,basf.com,"BASF","Germany","Materials & Chemicals"
69,bayer.com,"Bayer","Germany","Healthcare"
70,beazley.com,"Beazley Group","United Kingdom","Insurance"
71,beiersdorf.com,"Beiersdorf","Germany","Retail & Consumer"
72,beiersdorf.com,"Beiersdorf","Germany","Other"
73,belimo.com,"Belimo Holding","Switzerland","Other"
74,berkeleygroup.co.uk,"Berkeley Group Holdings","United Kingdom","Retail & Consumer"
75,bigyellow.co.uk,"Big Yellow Group","United Kingdom","Real Estate & Infrastructure"
76,bmw.com,"BMW","Germany","Other"
77,group.bnpparibas,"BNP Paribas","France","Banking & Finance"
78,boliden.com,"Boliden AB","Sweden","Materials & Chemicals"
79,bollore.com,"Bolloré","France","Transportation & Logistics"
80,bouygues.com,"Bouygues","France","Other"
81,bouygues.com,"Bouygues","France","Other"
